Store,Dept,Date,Weekly_Pred
1.0,1.0,2011-05-06,17408.24307692242
1.0,1.0,2011-05-13,18921.043076918028
1.0,1.0,2011-05-20,14767.343076922643
1.0,1.0,2011-05-27,15574.733076923967
1.0,1.0,2011-06-03,17552.393076922723
1.0,1.0,2011-06-10,16631.9230769221
1.0,1.0,2011-06-17,16210.573076924451
1.0,1.0,2011-06-24,16323.02307692176
1.0,2.0,2011-05-06,49165.43846153277
1.0,2.0,2011-05-13,44938.038461531934
1.0,2.0,2011-05-20,45581.57846153244
1.0,2.0,2011-05-27,45881.94846153255
1.0,2.0,2011-06-03,50016.898461532735
1.0,2.0,2011-06-10,48351.96846153257
1.0,2.0,2011-06-17,45691.13846153296
1.0,2.0,2011-06-24,46562.348461532456
1.0,3.0,2011-05-06,8621.243846141322
1.0,3.0,2011-05-13,7168.303846141844
1.0,3.0,2011-05-20,7062.353846141425
1.0,3.0,2011-05-27,7661.13384614122
1.0,3.0,2011-06-03,7249.853846141425
1.0,3.0,2011-06-10,6991.193846141508
1.0,3.0,2011-06-17,7449.503846141331
1.0,3.0,2011-06-24,5839.6638461414805
1.0,4.0,2011-05-06,37078.95076924114
1.0,4.0,2011-05-13,33568.31076924165
1.0,4.0,2011-05-20,35482.08076924109
1.0,4.0,2011-05-27,36290.97076924093
1.0,4.0,2011-06-03,40458.80076924106
1.0,4.0,2011-06-10,36490.57076924117
1.0,4.0,2011-06-17,34970.13076924093
1.0,4.0,2011-06-24,34365.30076924121
1.0,5.0,2011-05-06,19221.428461520518
1.0,5.0,2011-05-13,16852.648461522673
1.0,5.0,2011-05-20,16118.158461520397
1.0,5.0,2011-05-27,15745.58846151975
1.0,5.0,2011-06-03,22893.248461520307
1.0,5.0,2011-06-10,21778.348461520676
1.0,5.0,2011-06-17,19739.428461519514
1.0,5.0,2011-06-24,19015.568461520837
1.0,6.0,2011-05-06,5810.620769229617
1.0,6.0,2011-05-13,5315.090769230287
1.0,6.0,2011-05-20,1728.670769229896
1.0,6.0,2011-05-27,4498.510769229747
1.0,6.0,2011-06-03,3817.820769229803
1.0,6.0,2011-06-10,2414.9607692299332
1.0,6.0,2011-06-17,2235.1807692296725
1.0,6.0,2011-06-24,2572.020769229989
1.0,7.0,2011-05-06,21869.862307670635
1.0,7.0,2011-05-13,20183.59230766922
1.0,7.0,2011-05-20,30139.102307670393
1.0,7.0,2011-05-27,38323.83230767084
1.0,7.0,2011-06-03,45975.92230767069
1.0,7.0,2011-06-10,28322.702307670486
