Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-09-02,False,17424.984477950045
1,1,2011-09-09,True,18322.907835987415
1,1,2011-09-16,False,18625.20593318764
1,1,2011-09-23,False,17993.143706579012
1,1,2011-09-30,False,19472.076938158385
1,1,2011-10-07,False,21858.894358006324
1,1,2011-10-14,False,24046.93968706836
1,1,2011-10-21,False,26345.4672831034
1,1,2011-10-28,False,37204.75525854949
1,2,2011-09-02,False,50980.56481804724
1,2,2011-09-09,True,45057.02654360758
1,2,2011-09-16,False,45382.10901653856
1,2,2011-09-23,False,44905.55594671677
1,2,2011-09-30,False,46539.83759201835
1,2,2011-10-07,False,46717.67923247249
1,2,2011-10-14,False,43436.14236447942
1,2,2011-10-21,False,43989.590460206375
1,2,2011-10-28,False,43334.065238027244
1,3,2011-09-02,False,22440.008658987805
1,3,2011-09-09,True,12038.959928040493
1,3,2011-09-16,False,11360.493781066134
1,3,2011-09-23,False,9860.827336202243
1,3,2011-09-30,False,9829.265894598195
1,3,2011-10-07,False,10092.109984005203
1,3,2011-10-14,False,9579.434747691133
1,3,2011-10-21,False,9679.307532963909
1,3,2011-10-28,False,9422.217488491542
1,4,2011-09-02,False,38580.392236896354
1,4,2011-09-09,True,35177.424495689076
1,4,2011-09-16,False,33897.912136952014
1,4,2011-09-23,False,32904.1226551891
1,4,2011-09-30,False,34105.55778512379
1,4,2011-10-07,False,35514.557692080765
1,4,2011-10-14,False,34133.257359746465
1,4,2011-10-21,False,33897.67576810371
1,4,2011-10-28,False,34336.72776825508
1,5,2011-09-02,False,16170.859779840277
1,5,2011-09-09,True,16595.175204543455
1,5,2011-09-16,False,17536.322185581725
1,5,2011-09-23,False,17226.387790471606
1,5,2011-09-30,False,21796.41104006843
1,5,2011-10-07,False,21282.24233615125
1,5,2011-10-14,False,20461.659165035526
1,5,2011-10-21,False,20416.297257387254
1,5,2011-10-28,False,17915.017431058164
1,6,2011-09-02,False,2680.003565917314
1,6,2011-09-09,True,2925.8094635983566
1,6,2011-09-16,False,3096.158721925282
1,6,2011-09-23,False,3082.7337747309925
1,6,2011-09-30,False,3032.1272134720916
1,6,2011-10-07,False,2628.0999814998927
1,6,2011-10-14,False,2972.457723999453
1,6,2011-10-21,False,2868.4404209647896
1,6,2011-10-28,False,2635.495978409947
1,7,2011-09-02,False,17395.076205251455
1,7,2011-09-09,True,18018.04508475698
1,7,2011-09-16,False,17078.527345836344
1,7,2011-09-23,False,15814.993304883545
1,7,2011-09-30,False,15573.786282146997
1,7,2011-10-07,False,15741.732302663797
1,7,2011-10-14,False,15864.369582177322
1,7,2011-10-21,False,16109.708221184737
1,7,2011-10-28,False,16697.972991881375
1,8,2011-09-02,False,35006.538269247016
1,8,2011-09-09,True,32644.899548334917
1,8,2011-09-16,False,32798.022523095744
1,8,2011-09-23,False,32507.436375668072
1,8,2011-09-30,False,34909.74571518428
1,8,2011-10-07,False,35499.97095891382
1,8,2011-10-14,False,33505.01028070817
1,8,2011-10-21,False,33383.75830977861
1,8,2011-10-28,False,33888.440600251866
1,9,2011-09-02,False,47320.26260429767
1,9,2011-09-09,True,41362.119733868465
1,9,2011-09-16,False,30449.42949887209
1,9,2011-09-23,False,29509.793571758386
1,9,2011-09-30,False,39965.63926248224
1,9,2011-10-07,False,32855.1719294595
1,9,2011-10-14,False,32680.39533523349
1,9,2011-10-21,False,28405.801692836056
1,9,2011-10-28,False,32016.297856301488
1,10,2011-09-02,False,32737.71943544155
1,10,2011-09-09,True,31399.909919768525
1,10,2011-09-16,False,29773.259472202288
1,10,2011-09-23,False,29186.56031071553
1,10,2011-09-30,False,29721.04663357326
1,10,2011-10-07,False,29862.840902501554
1,10,2011-10-14,False,27208.176528795226
1,10,2011-10-21,False,28127.271385890443
1,10,2011-10-28,False,26368.31607601234
1,11,2011-09-02,False,20558.913439728654
1,11,2011-09-09,True,19121.65929221768
