Store,Dept,Date,Weekly_Pred
1.0,1.0,2012-09-07,18043.059965521552
1.0,1.0,2012-09-14,19017.204965524612
1.0,1.0,2012-09-21,18063.259965524285
1.0,1.0,2012-09-28,19288.28496552582
1.0,1.0,2012-10-05,22165.154965525307
1.0,1.0,2012-10-12,25100.294965523677
1.0,1.0,2012-10-19,24519.769965523697
1.0,1.0,2012-10-26,35182.7649655242
1.0,2.0,2012-09-07,45350.20044831274
1.0,2.0,2012-09-14,44923.82544831297
1.0,2.0,2012-09-21,44035.24044831301
1.0,2.0,2012-09-28,47038.08044831309
1.0,2.0,2012-10-05,49235.14044831315
1.0,2.0,2012-10-12,44309.61044831289
1.0,2.0,2012-10-19,43530.60044831288
1.0,2.0,2012-10-26,43982.890448312915
1.0,3.0,2012-09-07,12862.88279310688
1.0,3.0,2012-09-14,10974.067793108334
1.0,3.0,2012-09-21,9333.137793105023
1.0,3.0,2012-09-28,10511.397793106895
1.0,3.0,2012-10-05,10436.277793107947
1.0,3.0,2012-10-12,10209.372793108152
1.0,3.0,2012-10-19,9781.992793107915
1.0,3.0,2012-10-26,9758.54279310738
1.0,4.0,2012-09-07,37281.57793101676
1.0,4.0,2012-09-14,35480.2729310159
1.0,4.0,2012-09-21,34002.95793101735
1.0,4.0,2012-09-28,35298.33793101654
1.0,4.0,2012-10-05,38011.93293101605
1.0,4.0,2012-10-12,36273.4929310161
1.0,4.0,2012-10-19,34855.112931016214
1.0,4.0,2012-10-26,36151.55793101628
1.0,5.0,2012-09-07,19758.054655195076
1.0,5.0,2012-09-14,18956.3046551995
1.0,5.0,2012-09-21,20132.759655194684
1.0,5.0,2012-09-28,21215.25965519841
1.0,5.0,2012-10-05,26434.699655199518
1.0,5.0,2012-10-12,23012.35465519838
1.0,5.0,2012-10-19,27444.97965519815
1.0,5.0,2012-10-26,22716.509655197944
1.0,6.0,2012-09-07,4477.095275870408
1.0,6.0,2012-09-14,3336.7252758700633
1.0,6.0,2012-09-21,3846.8702758707805
1.0,6.0,2012-09-28,2369.750275870436
1.0,6.0,2012-10-05,3638.085275869933
1.0,6.0,2012-10-12,3823.40027587011
1.0,6.0,2012-10-19,3888.595275870175
1.0,6.0,2012-10-26,5012.885275870212
1.0,7.0,2012-09-07,14905.70251725879
1.0,7.0,2012-09-14,13980.687517257262
1.0,7.0,2012-09-21,14340.197517259832
1.0,7.0,2012-09-28,13003.142517258268
1.0,7.0,2012-10-05,12362.667517257243
